41,n,9,"the serpent slain, according to the myth, near Delphi by Apollo, who was fabled to have been called Pythius in commemoration of this victory",1566
151738,07737321,n,10,1827-1912,2232
151739,07737399,n,10,1632-1704,1451
151740,07737473,n,10,1807-1882,2657
151741,07737568,n,10,(1601-1643) King of France from 1610 to 1643 who relied heavily on the advice of Cardinal Richelieu,2768
152692,07944389,n,10,an evergreen tree,"2158,2172"
151694,07729471,n,10,the second Old Testament patriarch; son of Abraham and Sarah; father of Jacob and Esau,1565
210487,L7917083,n,9,"a daughter of Bisaltes, loved by Poseidon",
151744,07738191,n,10,Spartan commander who defeated the Athenians in the final battle of the Peloponnesian War (d. 395 BC),"1781,2768"
210492,L9093291,n,9,"one of the thirty tyrants of Athens, who was put to death for resisting the oppressive measures of his associates",
151746,07738577,n,10,(1469-1527) a statesman of Florence who advocated a strong central government,"1718,2657,2768"
151748,07738976,n,10,circa 1480-1521,2768
151749,07739067,n,10,1925-1965,1718
151750,07739167,n,10,an English economist who argued that increases in population would outgrow increases in the means of subsistence (1766-1834),1753
151751,07739386,n,10,Chinese communist leader (1893-1976),"1718,2768"
151756,07740249,n,10,Dutch dancer who was executed by the French as a German spy in World War I (1876-1917),2516
151759,07740735,n,10,1819-1891,2657
151753,07739720,n,10,sinful woman Jesus healed of evil spirits; she became a follower of Jesus,1802
151755,07740069,n,10,founder of modern communism; wrote The Communist Manifesto with Engels in 1848; wrote Das Kapital in 1867 (1818-1883),"1718,2768"
151757,07740417,n,10,disciple of Jesus; author of the first Gospel,1565
151788,07745083,n,10,(1787-1854) the German physicist who formulated Ohm's Law,2097
151767,07741779,n,10,"5th President of the United States; author of the ""Monroe Doctrine"" (1758-1831)","1718,2516,2768"
151779,07743480,n,10,Scottish mathematician; invented logarithms; introduced the use of the decimal point in writing numbers (1550-1617),2873
151783,07744020,n,10,(1889-1964) Indian statesman and leader with Gandhi in the struggle for home rule; was the first Prime Minister of the Republic of India from 1947 to 1964,"1718,2768"
151786,07744587,n,10,Vice President under Eisenhower and 37th President of the United States; resigned after the Watergate scandal in 1974 (1913-1994),"1718,2516,2768"
151793,07745822,n,10,French mathematician and philosopher; invented an adding machine; contributed (with Fermat) to the theory of probability (1623-1662),"1451,2873"
151760,07740817,n,10,founder of the science of genetics (1822-1884),"1565,2158"
151795,07746273,n,10,a patron saint of Ireland; an English missionary to Ireland in the 5th century,"1565,2516"
151796,07746435,n,10,a Christian missionary to the Gentiles; author of several Epistles in the New Testament; even though Paul was not present at the Last Supper he is considered an apostle,1565
151799,07747080,n,10,disciple of Jesus; regarded by Catholics as the vicar of Christ on earth,1565
151761,07740973,n,10,Russian chemist who devised the first periodic table of the chemical elements (1834-1907),2111
151763,07741280,n,10,1475-1564,"2446,2511"
151764,07741384,n,10,ancient king who expanded his kingdom by defeating the Romans but was later driven out by Pompey (132-63 BC),2768
151765,07741591,n,10,(570-632) the prophet who founded Islam,1565
151766,07741716,n,10,1622-1673,2657
151768,07741926,n,10,(1208-1265) an English nobleman who led the baronial rebellion against Henry III,2768
151769,07742101,n,10,"soldier in the American Revolutionary War who defeated the British in the Battle of Cowpens, South Carolina (1736-1802)",1781
151770,07742289,n,10,a buccaneer who raided Spanish colonies in the West Indies for the English,1802
151771,07742443,n,10,1837-1913,1782
151772,07742541,n,10,U.S. biologist who formulated the chromosome theory of heredity,2158
151773,07742678,n,10,the ancient prophet whose writings were revealed to Joseph Smith who founded the Mormon Church,1565
151774,07742825,n,10,founded the Mormon Church in 1830,1565
151776,07743152,n,10,1756-1791,2536
151777,07743240,n,10,1883-1945,2768
151778,07743334,n,10,the mother-in-law of Ruth whose story is told in the Book of Ruth in the Old Testament,2516
151780,07743662,n,10,1769-1821,"1781,2768"
151781,07743778,n,10,Egyptian statesman who nationalized the Suez Canal (1918-1870),"1718,2768"
151782,07743914,n,10,American political cartoonist (1840-1902),2425
151785,07744497,n,10,1820-1910,2232
151789,07745208,n,10,American physicist who directed the project at Los Alamos that developed the first atomic bomb (1904-1967),2097
151791,07745570,n,10,1892-1968,2768
151792,07745651,n,10,British historian noted for ridicule of bureaucracies (1909- ),2768
151794,07746041,n,10,(1822-1895) French chemist and biologist whose discovery that fermentation is caused by microorganisms resulted in the process of pasteurization,"2111,2158"
151797,07746756,n,10,Russian physiologist who observed conditioned salivary responses in dogs (1849-1936),"1502,2158"
151798,07746931,n,10,(1839-1914) a pioneer of pragmatism,1451
151800,07747255,n,10,an Italian poet famous for love lyrics (1304-1374),2657
151801,07747392,n,10,1896-1980,1502
151802,07747461,n,10,14th President of the United States (1804-1869),"1718,2516,2768"
151803,07747579,n,10,1881-1973,2511
151752,07739499,n,10,American jurist; as chief justice of the Supreme Court he established the principles of United States constitutional law (1755-1835),"1802,1820"
151809,07748592,n,10,Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324),2768
210503,L5689957,n,9,"a king of Athens, son of Aegeus and Aethra",
210504,L9788777,n,9,"a town in Boeotia, at the south-eastern foot of Helicon, now the village of Lefka, near Rimokastro",2775
210524,L5549927,n,9,"a town in Calabria, in the territory of the Salentines",2775
151810,07748746,n,10,Roman general and statesman who quarrelled with Caesar and fled to Egypt where he was murdered,"1718,1781,2768"
151811,07748973,n,10,famous chief of the Ottawa who led an unsuccessful rebellion against the British (1715-1769),2772
151814,07749450,n,10,(1871-1922) French novelist,2657
151815,07749546,n,10,(2nd century AD) proposed a geocentric system of astronomy that was undisputed until Copernicus,"2076,2768"
151816,07749735,n,10,(Greek mythology) the king of Cyprus who fell in love with the statue of a woman (Galatea) he had created,1566
151818,07750043,n,10,circa 580-500 BC,"1451,2768,2873"
151808,07748363,n,10,11th President of the United States; his expansionism led to the Mexican War and the annexation of California and much of the southwest (1795-1849),"1718,2516,2768"
151813,07749317,n,10,(Greek mythology) the last king of Troy; father of Hector and Paris and Cassandra,1566
151817,07749896,n,10,king of Epirus; defeated the Romans in two battles in spite of staggering losses (319-272 BC),2768
151829,07751882,n,10,(1585-1642) French prelate and statesman; principal minister to Louis XIII,"1565,1718,2768"
151819,07750152,n,10,1908-,1451
151833,07752563,n,10,"26th President of the United States; hero of the Spanish-American War; Panama Canal was built during his administration; said ""Speak softly but carry a big stick"" (1858-1919)","1718,2516,2768"
151845,07754669,n,10,"(1740-1814) French soldier and writer whose descriptions of sexual perversion gave rise to the term ""sadism""",2657
151847,07755031,n,10,(1884-1939) anthropologist and linguist; studied languages of North American Indians,"1675,1969"
151852,07756031,n,10,Macedonian general who accompanied Alexander the Great into Asia; founded a line of kings who reigned in Asia Minor until 65 BC (358-281 BC),"1781,2768"
151861,07757575,n,10,ancient Athenian philosopher(470-399 BC); teacher of Plato and Xenophon,"1451,2768"
151807,07748126,n,10,a Powhatan Indian woman (the daughter of Powhatan) who befriended the English at Jamestown and is said to have saved Captain John Smith's life (1595-1617),2772
151820,07750237,n,10,author of satirical attacks on medieval scholasticism (1494-1553),2425
151821,07750377,n,10,1639-1699,2657
151822,07750453,n,10,40th President of the United States (1911- ),"1718,2516,2768"
151823,07750589,n,10,French physicist who invented the alcohol thermometer (1683-1757),2097
151824,07750744,n,10,1851-1902,2232
151825,07750818,n,10,1606-1669,2511
151830,07752095,n,10,pioneer of non-Euclidean geometry (1826-1866),2873
151831,07752229,n,10,a Welsh pirate credited with having taken more than 400 ships (1682-1722),1802
151832,07752378,n,10,German field marshal noted for brilliant generalship in North Africa during World War II (1891-1944),1781
151835,07753081,n,10,wife of Franklin Roosevelt (1884-1962),"1749,1820,2657"
151836,07753238,n,10,said to have made the first American flag at the request of George Washington (1752-1836),"2425,2875"
151837,07753412,n,10,(1828-1882) English poet and painter who was a leader of the Pre-Raphaelites,2425
151838,07753568,n,10,(1792-1868) Italian composer remembered for his operas,2536
151839,07753706,n,10,1712-1778,"1451,2657"
151840,07753812,n,10,German field marshal in World War II who directed the conquest of Poland and led the Ardennes counteroffensive (1875-1953),1781
151841,07754039,n,10,a German-born English leader of the Royalist forces during the English Civil War (1619-1682),2768
151842,07754200,n,10,1872-1970,1451
151843,07754349,n,10,the great-grandmother of King David whose story is told in the Book of Ruth in the Old Testament,1565
151844,07754496,n,10,(1895-1948) US professional baseball player famous for hitting home runs,2871
151846,07754899,n,10,woman whose dancing beguiled Herod into giving her the head of John the Baptist,2425
151849,07755390,n,10,a French marshall who distinguished himself in the War of the Austrian Succession,1781
151850,07755561,n,10,(1887-1961) Austrian physicist who discovered the wave equation,2097
151851,07755702,n,10,Roman general who commanded the invasion of Carthage in the second Punic War and defeated Hannibal at Zama (circa 237-183 BC),"1781,2768"
151853,07756278,n,10,(circa 4 BC - 65 AD) an adviser to Nero,"1451,1718,2657,2768"
151854,07756448,n,10,(1509-1537) the third wife of Henry VIII and mother of Edward VI,2768
151855,07756581,n,10,1564-1616,2657
151856,07756720,n,10,1856-1950,2657
151857,07756831,n,10,made the first US suborbital rocket-powered flight in 1961,2873
151858,07756958,n,10,American divorcee whose marriage to Edward VIII created a constitutional crisis leading to his abdication,2516
151860,07757471,n,10,1904-1990,1502
151862,07757719,n,10,a US bandmaster and composer of military marches (1854-1932),2536
210535,L1759976,n,9,"a little town in the Peloponnesus, the possession of which was contested by the Argives and the Lacedaemonians",2775
151863,07757869,n,10,(1552-1599) English poet,2657
151864,07757964,n,10,Russian Soviet leader (1879-1953),"1718,2768"
151865,07758102,n,10,1882-1971,2536
151866,07758193,n,10,Roman general and dictator (138-78 BC),"1781,2768"
151867,07758332,n,10,English composer (1842-1900),2536
