,184167,,,
363782,46064,190837,,,
363789,46093,178262,,,
363796,46093,180363,,,
363801,46093,171363,,,
363805,46128,194882,,,
363812,46071,107246,,,
363819,46071,108501,,,
363826,46071,144445,,,
363833,46071,137892,,,
363840,46071,137366,,,
363847,46071,103430,,,
363854,46066,204597,,,
363861,46121,127287,,,
363868,46121,128359,,,
363875,46105,167240,,,
363882,46080,150872,,,
363889,46080,146891,,,
363896,46080,147617,,,
363903,46120,199851,,,
363908,46136,141949,,,
363912,46136,149086,,,
363919,46136,148425,,,
363926,46136,149758,,,
363933,46136,149760,,,
363940,46076,190446,,,
363947,46076,193754,,,
363954,46076,189769,,,
363961,46076,193209,,,
363968,46076,187410,,,
363975,46076,195969,,,
363982,46119,185828,,,
363989,46091,105901,,,
363996,46091,141987,,,
364003,46073,148276,,,
364010,46079,201333,,,
364015,46081,199676,,,
364019,46081,199518,,,
364026,46081,199494,,,
364033,46081,199459,,,
364040,46130,188014,,,
364047,46134,121348,,,
364054,46132,142673,,,
364061,46132,108483,,,
364068,46132,162740,,,
364075,46132,124955,,,
364082,46137,131198,,,
364089,46137,149920,,,
364096,46114,134780,,,
364103,46114,106599,,,
364110,46114,127446,,,
364117,46114,123589,,,
364122,46114,128431,,,
364126,46114,130474,,,
364133,46114,165920,,,
364140,46114,126224,,,
364147,46114,126213,,,
364154,46118,168631,,,
364161,46131,133415,,,
364168,46169,163837,,,
364175,46169,104942,,,
364182,46169,142590,,,
364189,46169,107219,,,
364196,46169,165816,,,
364203,46169,137654,,,
364210,46169,105901,,,
364217,46169,107165,,,
364224,46169,148490,,,
364229,46202,162629,,,
364233,46182,106686,,,
364240,46182,105005,,,
364247,46210,181222,,,
364254,46210,179158,,,
364261,46210,175562,,,
364268,46210,176027,,,
364275,46210,176017,,,
364282,46210,176516,,,
364289,46210,171375,,,
364296,46210,177497,,,
364303,46210,181062,,,
364310,46210,180515,,,
364317,46210,169749,,,
364324,46210,179457,,,
364331,46210,176860,,,
364336,46210,178363,,,
364340,46210,179895,,,
364347,46210,171682,,,
364354,46210,179839,,,
364361,46210,177766,,,
364368,46210,177749,,,
364375,46210,176184,,,
364382,46210,175663,,,
364389,46210,174083,,,
364396,46150,150064,,,
364403,46197,162253,,,
364410,46180,162514,,,
364417,46164,192337,,,
364424,46164,190891,,,
364431,46164,190884,,,
364438,46164,190878,,,
364443,46156,178299,,,
364447,46156,173422,,,
364454,46156,177634,,,
364461,46156,175695,,,
364468,46156,175681,,,
364475,46156,177587,,,
364482,46156,169903,,,
364489,46156,181028,,,
364496,46156,176669,,,
364503,46156,172926,,,
364510,46156,175367,,,
364517,46156,170240,,,
364524,46145,133877,,,
364531,46145,141668,,,
364538,46179,133309,,,
364545,46179,118125,,,
364550,46179,160322,,,
364554,46179,133344,,,
364561,46177,142962,,,
364568,46199,194675,,,
364575,46199,183712,,,
364582,46184,162629,,,
364589,46160,202283,,,
364596,46149,163191,,,
364603,46149,142369,,,
364610,46203,190704,,,
364617,46212,167670,,,
364624,46212,136131,,,
364631,46212,103843,,,
364638,46212,128786,,,
364645,46185,126704,,,
364652,46185,136916,,,
364657,46185,137913,,,
364661,46185,126770,,,
364668,46185,152091,,,
364675,46185,163595,,,
364682,46201,178446,,,
364689,46213,184315,,,
364696,46213,194059,,,
364703,46165,118396,,,
364710,46165,145124,,,
364717,46165,128068,,,
364724,46165,119473,,,
364731,46165,116759,,,
364738,46172,191867,,,
364745,46172,183155,,,
364752,46172,184315,,,
364759,46172,188882,,,
364764,46172,185268,,,
364768,46172,191772,,,
364775,46154,199453,,,
364782,41630,187363,,,
364789,41630,186805,,,
364796,41630,194459,,,
364803,41630,184699,,,
364810,41630,187239,,,
364817,41630,187187,,,
364824,41630,192772,,,
364831,41630,192205,,,
364838,41630,188607,,,
364845,41630,190097,,,
364852,41630,188516,,,
364859,41630,195649,,,
364866,41630,187421,,,
364871,41630,187410,,,
364875,46193,200653,,,
364882,46209,174932,,,
364889,46152,142906,,,
364896,46152,168709,,,
364903,46153,193022,,,
364910,46153,186602,,,
364917,46153,191772,,,
364924,46157,181808,,,
364931,46144,120019,,,
364938,46187,165721,,,
364945,46161,199620,,,
364952,46166,199621,,,
364959,46200,186833,,,
364966,46200,189870,,,
364973,46200,184177,,,
364978,46200,193866,,,
364982,46200,182081,,,
364989,46200,183080,,,
364996,46200,184574,,,
365003,46200,192737,,,
365010,46200,191710,,,
365017,46200,183513,,,
365024,46200,191675,,,
365031,46200,186535,,,
365038,46200,184963,,,
365045,46200,183872,,,
365052,46148,131481,,,
365059,46192,137441,,,
365066,46192,104653,,,
365073,46192,118075,,,
365080,46192,137513,,,
365085,46192,163228,,,
365089,46192,151943,,,
365096,46151,161883,,,
365103,46151,116681,,,
365110,46151,118943,,,
365117,46151,141698,,,
365124,46142,104649,,,
365131,46275,125531,,,
365138,46275,126369,,,
365145,46256,176951,,,
365152,46256,170283,,,
365159,46288,127323,,,
365166,46288,140129,,,
365173,46266,126069,,,
365180,46266,130659,,,
365187,46266,132433,,,
365192,46266,141374,,,
365196,46266,128435,,,
365203,46266,106381,,,
365210,46266,106368,,,
365217,46250,111206,,,
365224,46250,160603,,,
365231,46250,108753,,,
365238,46250,124992,,,
365245,46250,205357,,,
365252,46250,128799,,,
365259,46250,122259,,,
365266,46279,181855,,,
365273,46267,187185,,,
365280,46255,191339,,,
365287,46255,182369,,,
365294,46255,187830,,,
365299,46255,184489,,,
365303,46255,184485,,,
365310,46255,189596,,,
365317,46262,189941,,,
365324,46262,188354,,,
365331,46262,195387,,,
365338,46262,184970,,,
365345,46253,138841,,,
365352,46253,103613,,,
365359,46253,123183,,,
365366,46253,108425,,,
365373,46244,142950,,,
365380,46244,137123,,,
365387,46244,204808,,,
365394,46257,204495,,,
365401,46261,175600,,,
365406,46261,181199,,,
365410,46261,178117,,,
365417,46261,174002,,,
365424,46261,177556,,,
365431,46261,175495,,,
365438,46261,169834,,,
