s1125,semirasus,a,0,aps---mn1-,semiras semiras semiras,semirasus
42817,42817,infamatus,a,0,aps---mn1-,infam infam infam,infamatus
42828,42828,intumus,a,0,aps---mn1-,intum intum intum,intumus
42790,a0597,adinquiro,v,0,v1spia--3-,adinquir adinquis adinquisit,adinquiro
42784,42784,laterna,n,0,n-s---fn1-,latern,laterna
42779,42779,lurco,n,0,n-s---mn3-,lurcon,lurco
42819,42819,misterium,n,0,n-s---nn2-,misteri,misterium
26655,r1004,recido,v,0,v1spia--3-,recid reccid recas,recĭdo
42798,a1480,altarium,n,0,n-s---nn2-,altari,altarium
42852,42852,nichilum,n,0,n-s---nn2-,nichil,nichilum
42850,a2169,anterior,a,0,acs---cn3-,anter anter anter anter anter anter,anterior
42781,c9902,coniunctus,n,0,n-s---mn4-,coniunct,coniunctus
42833,42833,oplomachus,r,0,rp--------,patibil,oplomachus
42837,42837,placate,r,0,rp--------,tetradrachm,placate
42840,42840,quinquaginta,n,0,n-s---fn1-,quinquagesim quinquagen quinquag,quinquaginta
42820,42820,salue,n,0,n-s---nn3-,sal,salue
42809,42809,scortillum,n,0,n-s---mn3-,scortill,scortillum
42815,42815,solatium,n,0,n-s---nn2-,solati,solatium
42836,42836,tetradrachmum,n,0,n-s---nn2-,tetradrachm,tetradrachmum
42802,a0332,acentetus,a,0,aps---mn1-,acentet acentet acentet,acentetus
42845,42845,Asa,n,0,n-s---fn1-,Ass,Asa
42821,a8933,auctoratus,n,0,n-s---mn2-,auctorat,auctoratus
42792,b0211,bebrinus,a,0,aps---mn1-,bebrin bebrin bebrin,bebrinus
42783,42783,abrotonites,n,0,n-s---mn1-,abrotonit,abrotonites
42844,c0703,carracutium,n,0,n-s---nn2-,carracuti,carracutium
42787,c0821,catagusa,n,0,n-s---fn1-,catagus,catagusa
42841,c1655,cinisculus,n,0,n-s---mn2-,ciniscul,cinisculus
42858,c1690,circulator,n,0,n-s---mn3-,circulator,circulator
42795,c2050,classicus,a,0,aps---mn1-,classic classic classic,classicus
42856,c3022,concineratus,a,0,aps---mn1-,concinerat concinerat concinerat,concineratus
42827,c4343,cretulentum,n,0,n-s---nn2-,cretulent,cretulentum
42826,d0941,descriptor,n,0,n-s---mn3-,descriptor,descriptor
42796,d2289,dudum,r,0,rp--------,,dudum
